"Activity, Exercise or Sport (1 hour)",130 lb,155 lb,180 lb,205 lb,Calories per kg,category,exercise_id
"Cycling, mountain bike, bmx",502,598,695,791,1.75072971940299,A,5.0
"Cycling, <10 mph, leisure bicycling",236,281,327,372,0.823235629850746,D,5.0
"Cycling, >20 mph, racing",944,1126,1308,1489,3.29497352835821,A,5.0
"Cycling, 10-11.9 mph, light",354,422,490,558,1.23485344477612,C,5.0
"Cycling, 12-13.9 mph, moderate",472,563,654,745,1.64782526567164,B,5.0
"Cycling, 14-15.9 mph, vigorous",590,704,817,931,2.05944308059702,A,5.0
"Cycling, 16-19 mph, very fast, racing",708,844,981,1117,2.47106089552239,A,5.0
Unicycling,295,352,409,465,1.02972154029851,C,5.0
"Stationary cycling, very light",177,211,245,279,0.61742672238806,D,5.0
"Stationary cycling, light",325,387,449,512,1.13262599402985,C,5.0
"Stationary cycling, moderate",413,493,572,651,1.44133935522388,B,5.0
"Stationary cycling, vigorous",620,739,858,977,2.16234753432836,A,5.0
"Stationary cycling, very vigorous",738,880,1022,1163,2.57464235223881,A,5.0
"Calisthenics, vigorous, pushups, situps…",472,563,654,745,1.64782526567164,B,-1.0
"Calisthenics, light",207,246,286,326,0.721008179104478,D,-1.0
"Circuit training, minimal rest",472,563,654,745,1.64782526567164,B,-1.0
"Weight lifting, body building, vigorous",354,422,490,558,1.23485344477612,C,-1.0
"Weight lifting, light workout",177,211,245,279,0.61742672238806,D,-1.0
Health club exercise,325,387,449,512,1.13262599402985,C,-1.0
Stair machine,531,633,735,838,1.85295717014925,A,-1.0
"Rowing machine, light",207,246,286,326,0.721008179104478,D,47.0
"Rowing machine, moderate",413,493,572,651,1.44133935522388,B,47.0
"Rowing machine, vigorous",502,598,695,791,1.75072971940299,A,47.0
"Rowing machine, very vigorous",708,844,981,1117,2.47106089552239,A,47.0
Ski machine,413,493,572,651,1.44133935522388,B,-1.0
"Aerobics, low impact",295,352,409,465,1.02972154029851,C,-1.0
"Aerobics, high impact",413,493,572,651,1.44133935522388,B,-1.0
"Aerobics, step aerobics",502,598,695,791,1.75072971940299,A,-1.0
"Aerobics, general",384,457,531,605,1.33843490149254,B,-1.0
Jazzercise,354,422,490,558,1.23485344477612,C,-1.0
"Stretching, hatha yoga",236,281,327,372,0.823235629850746,D,29.0
Mild stretching,148,176,204,233,0.515199271641791,D,-1.0
Instructing aerobic class,354,422,490,558,1.23485344477612,C,-1.0
Water aerobics,236,281,327,372,0.823235629850746,D,43.0
"Ballet, twist, jazz, tap",266,317,368,419,0.927494089552239,C,-1.0
"Ballroom dancing, slow",177,211,245,279,0.61742672238806,D,3.0
"Ballroom dancing, fast",325,387,449,512,1.13262599402985,C,3.0
"Running, 5 mph (12 minute mile)",472,563,654,745,1.64782526567164,B,46.0
